Latitude,Longitude,Latitudezoomee,Longitudezoomee,REFERENCE,Région,Commune,Insee,Catégorie,Désignation,Propriétaire,Description,Année de découverte/création
577,536,,,,Eriador,Trouée des trolls,,,,,,
567,564,,,,Eriador,Trouée des trolls,,,,,,
566,574,,,,Eriador,Trouée des trolls,,,,,,
579,566,,,,Eriador,Trouée des trolls,,,,,,
573,561,,,,Eriador,Trouée des trolls,,,,,,
574,587,,,,Eriador,Trouée des trolls,,,,,,
564,522,,,,Eriador,Trouée des trolls,,,,,,
579,541,,,,Eriador,Trouée des trolls,,,,,,
573,560,,,,Eriador,Trouée des trolls,,,,,,
574,565,,,,Eriador,Trouée des trolls,,,,,,
564,569,,,,Eriador,Trouée des trolls,,,,,,
565,568,,,,Eriador,Trouée des trolls,,,,,,
581,562,,,,Eriador,Trouée des trolls,,,,,,
,,692,600,Vigo0,Gondor,,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,,,,Gondor,Ancien anorien,,,,,,
,,566,676,Vigo1,Gondor,,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,,,,Gondor,Gondor centre,,,,,,
,,693,657,Vigo2,Gondor,,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,,,,Gondor,Gondor est,,,,,,
,,451,636,Vigo3,Gondor,,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,,,,Gondor,Gondor ouest,,,,,,
,,606,573,Vigo4,Gondor,,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,,,,Gondor,Lointain anorien,,,,,,
,,692,502,Vigo5,Gondor,,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,,,,Gondor,Marais des morts,,,,,,
,,677,625,Vigo6,Gondor,,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,,,,Gondor,Minas tirith,,,,,,
,,742,627,Vigo7,Gondor,,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Gondor,Osgiliath,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,,,,Mordor,Mordor,,,,,,
,,468,656,Virh0,Rhovanion,,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,,,,Rhovanion,Fangorn,,,,,,
,,612,576,Virh1,Rhovanion,,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,,,,Rhovanion,Foret noire du sud,,,,,,
,,539,628,Virh2,Rhovanion,,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,,,,Rhovanion,Grand fleuve,,,,,,
,,506,592,Virh3,Rhovanion,,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,,,,Rhovanion,Lothlorien,,,,,,
,,435,582,Virh4,Rhovanion,,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,,,,Rhovanion,Moria,,,,,,
,,550,677,Virh5,Rhovanion,,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,,,,Rhovanion,Rhonan est,,,,,,
,,463,716,Virh6,Rhovanion,,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
,,,,,Rhovanion,Rhonan ouest,,,,,,
